filename,image_path,true_label,predicted_label,distortion_name,distortion_level,sequence_accuracy,character_accuracy
000000_oGAFz.png,C:\Users\Startklar\OneDrive\Documents\GitHub\Deep Learning\Deep_Larning_Captcha\data\synthetic\clean\000000_oGAFz.png,oGAFz,9gafz,clean,0,0,0.2
000001_Q12gk.png,C:\Users\Startklar\OneDrive\Documents\GitHub\Deep Learning\Deep_Larning_Captcha\data\synthetic\clean\000001_Q12gk.png,Q12gk,e12gk,clean,0,0,0.8
000002_Ti9V2.png,C:\Users\Startklar\OneDrive\Documents\GitHub\Deep Learning\Deep_Larning_Captcha\data\synthetic\clean\000002_Ti9V2.png,Ti9V2,ti9v2,clean,0,0,0.6
000003_g9soP.png,C:\Users\Startklar\OneDrive\Documents\GitHub\Deep Learning\Deep_Larning_Captcha\data\synthetic\clean\000003_g9soP.png,g9soP,g9s6p,clean,0,0,0.6
000004_sbhge.png,C:\Users\Startklar\OneDrive\Documents\GitHub\Deep Learning\Deep_Larning_Captcha\data\synthetic\clean\000004_sbhge.png,sbhge,ebnge,clean,0,0,0.6
000005_sBz1M.png,C:\Users\Startklar\OneDrive\Documents\GitHub\Deep Learning\Deep_Larning_Captcha\data\synthetic\clean\000005_sBz1M.png,sBz1M,sbz1m,clean,0,0,0.6
000006_4ubvr.png,C:\Users\Startklar\OneDrive\Documents\GitHub\Deep Learning\Deep_Larning_Captcha\data\synthetic\clean\000006_4ubvr.png,4ubvr,4ubvr,clean,0,1,1
000007_RwUUE.png,C:\Users\Startklar\OneDrive\Documents\GitHub\Deep Learning\Deep_Larning_Captcha\data\synthetic\clean\000007_RwUUE.png,RwUUE,rwuue,clean,0,0,0.2
000008_VWl59.png,C:\Users\Startklar\OneDrive\Documents\GitHub\Deep Learning\Deep_Larning_Captcha\data\synthetic\clean\000008_VWl59.png,VWl59,vwi59,clean,0,0,0.4
000009_YIFA3.png,C:\Users\Startklar\OneDrive\Documents\GitHub\Deep Learning\Deep_Larning_Captcha\data\synthetic\clean\000009_YIFA3.png,YIFA3,yifae,clean,0,0,0
000010_Tz5lD.png,C:\Users\Startklar\OneDrive\Documents\GitHub\Deep Learning\Deep_Larning_Captcha\data\synthetic\clean\000010_Tz5lD.png,Tz5lD,tz5id,clean,0,0,0.4
